Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
1/2/2018,1.27,1.29,,,1.42,1.44,1.58,1.61,1.78,1.83
1/3/2018,1.27,1.29,,,1.39,1.41,1.56,1.59,1.76,1.81
1/4/2018,1.25,1.27,,,1.39,1.41,1.57,1.6,1.77,1.82
1/5/2018,1.24,1.26,,,1.37,1.39,1.55,1.58,1.75,1.8
1/8/2018,1.26,1.28,,,1.43,1.46,1.57,1.6,1.74,1.79
1/9/2018,1.25,1.27,,,1.42,1.44,1.57,1.6,1.73,1.78
1/10/2018,1.29,1.31,,,1.4,1.42,1.56,1.59,1.73,1.78
1/11/2018,1.29,1.31,,,1.41,1.43,1.55,1.58,1.72,1.77
1/12/2018,1.28,1.3,,,1.41,1.43,1.56,1.59,1.73,1.78
1/16/2018,1.31,1.33,,,1.43,1.46,1.6,1.64,1.73,1.78
1/17/2018,1.29,1.31,,,1.42,1.44,1.6,1.64,1.73,1.78
1/18/2018,1.26,1.28,,,1.43,1.46,1.6,1.64,1.73,1.78
1/19/2018,1.25,1.27,,,1.42,1.44,1.59,1.62,1.73,1.78
1/22/2018,1.23,1.25,,,1.43,1.46,1.62,1.66,1.73,1.78
1/23/2018,1.24,1.26,,,1.42,1.44,1.6,1.64,1.72,1.77
1/24/2018,1.23,1.25,,,1.41,1.43,1.6,1.64,1.73,1.78
1/25/2018,1.2,1.22,,,1.4,1.42,1.61,1.65,1.74,1.79
1/26/2018,1.21,1.23,,,1.39,1.41,1.6,1.64,1.73,1.78
1/29/2018,1.24,1.26,,,1.43,1.46,1.63,1.67,1.73,1.78
1/30/2018,1.47,1.49,,,1.42,1.44,1.63,1.67,1.83,1.88
1/31/2018,1.41,1.43,,,1.44,1.47,1.63,1.67,1.85,1.9
2/1/2018,1.39,1.41,,,1.46,1.49,1.61,1.65,1.84,1.89
2/2/2018,1.38,1.4,,,1.46,1.49,1.61,1.65,1.83,1.88
2/5/2018,1.37,1.39,,,1.49,1.52,1.64,1.68,1.8,1.85
2/6/2018,1.46,1.48,,,1.5,1.53,1.66,1.7,1.82,1.87
2/7/2018,1.34,1.36,,,1.53,1.56,1.69,1.73,1.85,1.9
2/8/2018,1.3,1.32,,,1.53,1.56,1.69,1.73,1.85,1.9
2/9/2018,1.29,1.31,,,1.53,1.56,1.69,1.73,1.83,1.88
2/12/2018,1.31,1.33,,,1.61,1.64,1.78,1.82,1.87,1.92
