T5YIE,DCOILBRENTEU,Price,Open,High,Low,Vol.,WTI Daily Price Change %,DFF,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume,DJIA,USEPUINDXD,Day_of_Week
2.1,74.16,69.06,70.03,70.4,67.63,1250000.0,-2.36,1.7,1.66,1.69,,,1.84,1.87,2.0,2.05,2.18,2.25,35122.496,9365.0,35537.66528,9475.7,33980.649216,9060.54,34457.025024,9187.56,25533.0,24360.21,100.02,Tuesday
2.13,77.6,71.14,70.05,71.36,69.85,863390.0,3.01,1.7,1.65,1.68,,,1.85,1.88,2.0,2.05,2.19,2.26,34421.1712,9178.0,35216.256,9390.0,33622.336,8965.0,34916.224,9310.0,25673.0,24542.54,62.2,Wednesday
2.12,77.59,71.36,71.23,71.89,70.56,749810.0,0.31,1.7,1.65,1.67,,,1.86,1.89,2.0,2.05,2.19,2.26,34916.224,9310.0,35235.458048,9395.12,33641.088,8970.0,33761.85088,9002.2,25055.0,24739.53,74.02,Thursday
2.13,77.37,70.7,71.45,71.63,70.45,634150.0,-0.92,1.7,1.63,1.65,,,1.88,1.91,2.01,2.06,2.2,2.27,33761.888384,9002.21,33816.60672,9016.8,31282.0864,8341.0,31503.36,8400.0,48227.0,24831.17,78.27,Friday
2.12,78.17,70.96,70.54,71.26,70.26,592830.0,0.37,1.7,1.64,1.66,,,1.9,1.94,2.04,2.09,2.2,2.27,32552.384384,8679.71,33303.514496,8879.99,31042.0608,8277.0,32490.990336,8663.34,37389.0,24899.41,127.21,Monday
2.15,78.94,71.31,71.15,71.92,70.42,815290.0,0.49,1.7,1.66,1.69,,,1.89,1.93,2.04,2.09,2.22,2.29,32491.102848,8663.37,33228.506496,8859.99,31508.23552,8401.3,31735.8848,8462.0,28126.0,24706.41,42.73,Tuesday
2.16,78.19,71.49,71.02,71.59,70.66,574280.0,0.25,1.7,1.66,1.69,,,1.88,1.92,2.04,2.09,2.23,2.3,31735.8848,8462.0,31833.3952,8488.0,30314.520704,8083.01,31240.832,8330.0,31130.0,24768.93,50.06,Wednesday
2.16,80.09,71.49,71.56,72.3,71.09,562640.0,0.0,1.7,1.66,1.69,,,1.88,1.92,2.05,2.1,2.23,2.3,31240.832,8330.0,31743.3856,8464.0,29924.4416,7979.0,30158.691584,8041.46,25439.0,24713.98,74.49,Thursday
2.14,78.38,71.28,71.6,71.75,70.99,211790.0,-0.29,1.7,1.64,1.66,,,1.87,1.9,2.04,2.09,2.23,2.3,30148.790528,8038.82,31027.846784,8273.21,29672.78976,7911.9,30902.583424,8239.81,23476.0,24715.09,129.32,Friday
2.15,78.34,72.24,71.47,72.59,71.25,119890.0,1.35,1.7,1.65,1.67,,,1.9,1.94,2.09,2.14,2.26,2.33,31979.548288,8526.97,32235.850624,8595.31,31147.072,8305.0,31433.002496,8381.24,21516.0,25013.29,87.84,Monday
